,Community,month,year,Street_lights
3331,45,4,2012,1
3332,45,4,2013,2
3333,45,4,2015,8
3334,45,4,2016,10
3335,45,4,2017,3
3336,45,4,2018,12
3337,45,5,2010,5
3338,45,5,2011,18
3339,45,5,2012,10
3340,45,5,2013,6
3341,45,5,2014,10
3342,45,5,2015,13
3343,45,5,2016,9
3344,45,5,2017,7
3345,45,5,2018,2
3346,45,6,2009,1
3347,45,6,2010,6
3348,45,6,2011,10
3349,45,6,2012,10
3350,45,6,2013,8
3351,45,6,2014,2
3352,45,6,2015,3
3353,45,6,2016,4
3354,45,6,2018,7
3355,45,7,2010,10
3356,45,7,2011,11
3357,45,7,2012,8
3358,45,7,2013,7
3359,45,7,2014,7
3360,45,7,2015,13
3361,45,7,2016,5
3362,45,7,2017,3
3363,45,7,2018,2
3364,45,8,2010,6
3365,45,8,2011,5
3366,45,8,2012,6
3367,45,8,2013,5
3368,45,8,2014,2
3369,45,8,2015,7
3370,45,8,2016,4
3371,45,8,2017,4
3372,45,8,2018,8
3373,45,9,2010,3
3374,45,9,2011,8
3375,45,9,2012,4
3376,45,9,2013,13
3377,45,9,2014,1
3378,45,9,2015,6
3379,45,9,2016,7
3380,45,9,2017,5
3381,45,9,2018,5
3382,45,10,2009,1
3383,45,10,2010,6
3384,45,10,2011,8
3385,45,10,2012,4
3386,45,10,2013,6
3387,45,10,2014,4
3388,45,10,2015,4
3389,45,10,2016,2
3390,45,10,2017,3
3391,45,10,2018,3
3392,45,11,2010,4
3393,45,11,2011,6
3394,45,11,2012,2
3395,45,11,2013,4
3396,45,11,2014,6
3397,45,11,2015,5
3398,45,11,2016,4
3399,45,11,2017,3
3400,45,12,2010,3
3401,45,12,2011,2
3402,45,12,2012,5
3403,45,12,2013,4
3404,45,12,2014,2
3405,45,12,2016,2
3406,45,12,2017,5
3407,46,1,2010,2
3408,46,1,2011,60
3409,46,1,2012,37
3410,46,1,2013,31
3411,46,1,2014,6
3412,46,1,2015,7
3413,46,1,2016,9
3414,46,1,2017,11
3415,46,1,2018,14
3416,46,2,2010,9
3417,46,2,2011,26
3418,46,2,2012,32
3419,46,2,2013,26
3420,46,2,2014,11
3421,46,2,2015,26
3422,46,2,2016,10
3423,46,2,2017,16
3424,46,2,2018,14
3425,46,3,2010,14
3426,46,3,2011,48
3427,46,3,2012,45
3428,46,3,2013,21
3429,46,3,2014,16
3430,46,3,2015,26
3431,46,3,2016,9
3432,46,3,2017,15
3433,46,3,2018,11
3434,46,4,2010,16
3435,46,4,2011,74
3436,46,4,2012,60
3437,46,4,2013,74
3438,46,4,2014,20
3439,46,4,2015,20
3440,46,4,2016,17
3441,46,4,2017,10
3442,46,4,2018,16
3443,46,5,2010,44
3444,46,5,2011,56
3445,46,5,2012,66
3446,46,5,2013,20
3447,46,5,2014,21
3448,46,5,2015,20
3449,46,5,2016,25
3450,46,5,2017,12
3451,46,5,2018,21
3452,46,6,2009,1
3453,46,6,2010,13
3454,46,6,2011,109
3455,46,6,2012,47
3456,46,6,2013,30
3457,46,6,2014,26
3458,46,6,2015,32
3459,46,6,2016,25
3460,46,6,2017,14
3461,46,6,2018,6
3462,46,7,2010,23
3463,46,7,2011,106
3464,46,7,2012,51
3465,46,7,2013,29
3466,46,7,2014,34
3467,46,7,2015,46
3468,46,7,2016,22
3469,46,7,2017,21
3470,46,7,2018,14
3471,46,8,2009,3
3472,46,8,2010,45
3473,46,8,2011,120
3474,46,8,2012,66
3475,46,8,2013,31
3476,46,8,2014,21
3477,46,8,2015,39
3478,46,8,2016,20
3479,46,8,2017,21
3480,46,8,2018,20
3481,46,9,2009,4
3482,46,9,2010,39
3483,46,9,2011,36
3484,46,9,2012,32
3485,46,9,2013,28
3486,46,9,2014,13
3487,46,9,2015,33
3488,46,9,2016,15
3489,46,9,2017,9
3490,46,9,2018,25
3491,46,10,2009,1
3492,46,10,2010,46
3493,46,10,2011,49
3494,46,10,2012,53
3495,46,10,2013,8
3496,46,10,2014,14
3497,46,10,2015,18
3498,46,10,2016,11
3499,46,10,2017,8
3500,46,10,2018,15
3501,46,11,2009,6
3502,46,11,2010,33
3503,46,11,2011,24
3504,46,11,2012,33
3505,46,11,2013,13
3506,46,11,2014,12
3507,46,11,2015,15
3508,46,11,2016,10
3509,46,11,2017,12
3510,46,12,2009,5
3511,46,12,2010,31
3512,46,12,2011,38
3513,46,12,2012,18
3514,46,12,2013,16
3515,46,12,2014,21
3516,46,12,2015,8
3517,46,12,2016,8
3518,46,12,2017,14
3519,47,1,2011,4
3520,47,1,2013,1
3521,47,1,2014,2
3522,47,1,2015,3
3523,47,1,2017,5
3524,47,1,2018,2
3525,47,2,2010,1
3526,47,2,2011,2
3527,47,2,2012,1
3528,47,2,2014,3
3529,47,2,2015,4
3530,47,2,2016,4
3531,47,2,2017,6
3532,47,3,2010,3
3533,47,3,2011,5
3534,47,3,2012,7
3535,47,3,2014,3
3536,47,3,2015,4
3537,47,3,2016,5
3538,47,3,2018,4
3539,47,4,2010,5
3540,47,4,2011,7
3541,47,4,2012,4
3542,47,4,2014,2
3543,47,4,2015,3
3544,47,4,2016,7
3545,47,4,2017,1
3546,47,4,2018,4
3547,47,5,2010,5
3548,47,5,2011,10
3549,47,5,2012,13
3550,47,5,2013,4
3551,47,5,2014,5
3552,47,5,2015,2
3553,47,5,2016,10
3554,47,5,2017,4
3555,47,5,2018,5
3556,47,6,2010,3
3557,47,6,2011,10
3558,47,6,2012,12
3559,47,6,2013,6
3560,47,6,2015,5
3561,47,6,2016,1
3562,47,7,2010,5
3563,47,7,2011,4
3564,47,7,2012,2
3565,47,7,2013,7
3566,47,7,2014,3
3567,47,7,2015,1
3568,47,7,2016,5
3569,47,7,2017,1
3570,47,7,2018,5
3571,47,8,2010,5
3572,47,8,2011,7
3573,47,8,2012,4
3574,47,8,2013,4
3575,47,8,2014,2
3576,47,8,2015,2
3577,47,8,2016,3
3578,47,8,2017,2
