,Community,month,year,Sanitation_request
6328,69.0,3,2017,37
6329,69.0,3,2018,50
6330,69.0,4,2011,35
6331,69.0,4,2012,49
6332,69.0,4,2013,47
6333,69.0,4,2014,42
6334,69.0,4,2015,55
6335,69.0,4,2016,27
6336,69.0,4,2017,36
6337,69.0,4,2018,45
6338,69.0,5,2011,57
6339,69.0,5,2012,47
6340,69.0,5,2013,61
6341,69.0,5,2014,36
6342,69.0,5,2015,52
6343,69.0,5,2016,42
6344,69.0,5,2017,54
6345,69.0,5,2018,82
6346,69.0,6,2011,45
6347,69.0,6,2012,57
6348,69.0,6,2013,70
6349,69.0,6,2014,47
6350,69.0,6,2015,56
6351,69.0,6,2016,60
6352,69.0,6,2017,49
6353,69.0,6,2018,78
6354,69.0,7,2011,74
6355,69.0,7,2012,69
6356,69.0,7,2013,45
6357,69.0,7,2014,44
6358,69.0,7,2015,54
6359,69.0,7,2016,56
6360,69.0,7,2017,55
6361,69.0,7,2018,87
6362,69.0,8,2011,64
6363,69.0,8,2012,68
6364,69.0,8,2013,51
6365,69.0,8,2014,62
6366,69.0,8,2015,46
6367,69.0,8,2016,74
6368,69.0,8,2017,59
6369,69.0,8,2018,82
6370,69.0,9,2011,50
6371,69.0,9,2012,79
6372,69.0,9,2013,26
6373,69.0,9,2014,37
6374,69.0,9,2015,40
6375,69.0,9,2016,53
6376,69.0,9,2017,37
6377,69.0,9,2018,52
6378,69.0,10,2011,37
6379,69.0,10,2012,24
6380,69.0,10,2013,37
6381,69.0,10,2014,29
6382,69.0,10,2015,15
6383,69.0,10,2016,43
6384,69.0,10,2017,27
6385,69.0,10,2018,29
6386,69.0,11,2011,23
6387,69.0,11,2012,24
6388,69.0,11,2013,18
6389,69.0,11,2014,5
6390,69.0,11,2015,12
6391,69.0,11,2016,27
6392,69.0,11,2017,35
6393,69.0,12,2010,3
6394,69.0,12,2011,27
6395,69.0,12,2012,18
6396,69.0,12,2013,20
6397,69.0,12,2014,22
6398,69.0,12,2015,14
6399,69.0,12,2016,12
6400,69.0,12,2017,21
6401,70.0,1,2011,12
6402,70.0,1,2012,10
6403,70.0,1,2013,18
6404,70.0,1,2014,9
6405,70.0,1,2015,8
6406,70.0,1,2016,9
6407,70.0,1,2017,15
6408,70.0,1,2018,17
6409,70.0,2,2010,2
6410,70.0,2,2011,26
6411,70.0,2,2012,20
6412,70.0,2,2013,11
6413,70.0,2,2014,15
6414,70.0,2,2015,15
6415,70.0,2,2016,17
6416,70.0,2,2017,9
6417,70.0,2,2018,17
6418,70.0,3,2011,30
6419,70.0,3,2012,26
6420,70.0,3,2013,26
6421,70.0,3,2014,15
6422,70.0,3,2015,27
6423,70.0,3,2016,15
6424,70.0,3,2017,17
6425,70.0,3,2018,15
6426,70.0,4,2011,27
6427,70.0,4,2012,41
6428,70.0,4,2013,26
6429,70.0,4,2014,15
6430,70.0,4,2015,17
6431,70.0,4,2016,14
6432,70.0,4,2017,21
6433,70.0,4,2018,18
6434,70.0,5,2011,53
6435,70.0,5,2012,77
6436,70.0,5,2013,80
6437,70.0,5,2014,40
6438,70.0,5,2015,22
6439,70.0,5,2016,45
6440,70.0,5,2017,41
6441,70.0,5,2018,57
6442,70.0,6,2011,46
6443,70.0,6,2012,47
6444,70.0,6,2013,64
6445,70.0,6,2014,27
6446,70.0,6,2015,32
6447,70.0,6,2016,51
6448,70.0,6,2017,29
6449,70.0,6,2018,34
6450,70.0,7,2011,48
6451,70.0,7,2012,54
6452,70.0,7,2013,41
6453,70.0,7,2014,29
6454,70.0,7,2015,24
6455,70.0,7,2016,34
6456,70.0,7,2017,20
6457,70.0,7,2018,40
6458,70.0,8,2011,69
6459,70.0,8,2012,88
6460,70.0,8,2013,58
6461,70.0,8,2014,38
6462,70.0,8,2015,22
6463,70.0,8,2016,59
6464,70.0,8,2017,38
6465,70.0,8,2018,30
6466,70.0,9,2011,33
6467,70.0,9,2012,39
6468,70.0,9,2013,30
6469,70.0,9,2014,36
6470,70.0,9,2015,29
6471,70.0,9,2016,37
6472,70.0,9,2017,37
6473,70.0,9,2018,19
6474,70.0,10,2011,24
6475,70.0,10,2012,23
6476,70.0,10,2013,23
6477,70.0,10,2014,23
6478,70.0,10,2015,24
6479,70.0,10,2016,34
6480,70.0,10,2017,22
6481,70.0,10,2018,13
6482,70.0,11,2011,17
6483,70.0,11,2012,14
6484,70.0,11,2013,12
6485,70.0,11,2014,24
6486,70.0,11,2015,42
6487,70.0,11,2016,17
6488,70.0,11,2017,7
6489,70.0,12,2010,2
6490,70.0,12,2011,23
6491,70.0,12,2012,17
6492,70.0,12,2013,5
6493,70.0,12,2014,14
6494,70.0,12,2015,9
6495,70.0,12,2016,20
6496,70.0,12,2017,13
6497,71.0,1,2011,20
6498,71.0,1,2012,36
6499,71.0,1,2013,29
6500,71.0,1,2014,15
6501,71.0,1,2015,22
6502,71.0,1,2016,27
6503,71.0,1,2017,38
6504,71.0,1,2018,23
6505,71.0,2,2011,39
6506,71.0,2,2012,28
6507,71.0,2,2013,19
6508,71.0,2,2014,34
6509,71.0,2,2015,35
6510,71.0,2,2016,21
6511,71.0,2,2017,27
6512,71.0,2,2018,22
6513,71.0,3,2011,80
6514,71.0,3,2012,43
6515,71.0,3,2013,69
6516,71.0,3,2014,67
6517,71.0,3,2015,82
6518,71.0,3,2016,48
6519,71.0,3,2017,26
6520,71.0,3,2018,34
6521,71.0,4,2011,51
6522,71.0,4,2012,55
6523,71.0,4,2013,58
6524,71.0,4,2014,55
6525,71.0,4,2015,49
6526,71.0,4,2016,44
6527,71.0,4,2017,36
6528,71.0,4,2018,39
6529,71.0,5,2011,75
6530,71.0,5,2012,101
6531,71.0,5,2013,107
6532,71.0,5,2014,89
6533,71.0,5,2015,84
6534,71.0,5,2016,58
6535,71.0,5,2017,103
6536,71.0,5,2018,85
6537,71.0,6,2011,83
6538,71.0,6,2012,85
6539,71.0,6,2013,107
6540,71.0,6,2014,80
6541,71.0,6,2015,77
6542,71.0,6,2016,104
6543,71.0,6,2017,81
6544,71.0,6,2018,70
6545,71.0,7,2010,2
6546,71.0,7,2011,76
6547,71.0,7,2012,70
6548,71.0,7,2013,109
6549,71.0,7,2014,68
6550,71.0,7,2015,67
6551,71.0,7,2016,79
6552,71.0,7,2017,102
6553,71.0,7,2018,96
6554,71.0,8,2011,85
6555,71.0,8,2012,98
6556,71.0,8,2013,73
6557,71.0,8,2014,66
6558,71.0,8,2015,66
6559,71.0,8,2016,91
6560,71.0,8,2017,82
6561,71.0,8,2018,98
6562,71.0,9,2011,63
6563,71.0,9,2012,97
6564,71.0,9,2013,65
6565,71.0,9,2014,56
6566,71.0,9,2015,62
6567,71.0,9,2016,59
6568,71.0,9,2017,33
6569,71.0,9,2018,63
6570,71.0,10,2011,52
6571,71.0,10,2012,45
6572,71.0,10,2013,53
6573,71.0,10,2014,44
6574,71.0,10,2015,32
6575,71.0,10,2016,66
6576,71.0,10,2017,50
6577,71.0,10,2018,23
6578,71.0,11,2011,28
6579,71.0,11,2012,33
6580,71.0,11,2013,42
6581,71.0,11,2014,25
6582,71.0,11,2015,30
6583,71.0,11,2016,31
6584,71.0,11,2017,30
6585,71.0,12,2010,3
6586,71.0,12,2011,26
6587,71.0,12,2012,27
6588,71.0,12,2013,31
6589,71.0,12,2014,28
6590,71.0,12,2015,25
6591,71.0,12,2016,18
6592,71.0,12,2017,23
6593,72.0,1,2011,3
6594,72.0,1,2012,4
6595,72.0,1,2013,1
6596,72.0,1,2014,1
6597,72.0,1,2015,1
6598,72.0,1,2016,11
6599,72.0,1,2017,15
6600,72.0,1,2018,5
6601,72.0,2,2011,6
6602,72.0,2,2012,4
6603,72.0,2,2014,4
6604,72.0,2,2015,4
6605,72.0,2,2016,15
6606,72.0,2,2017,5
6607,72.0,2,2018,7
6608,72.0,3,2011,4
6609,72.0,3,2012,7
6610,72.0,3,2013,7
6611,72.0,3,2014,5
6612,72.0,3,2015,3
6613,72.0,3,2016,10
6614,72.0,3,2017,13
6615,72.0,3,2018,14
6616,72.0,4,2011,11
6617,72.0,4,2012,8
6618,72.0,4,2013,6
6619,72.0,4,2014,7
6620,72.0,4,2015,9
6621,72.0,4,2016,5
6622,72.0,4,2017,5
6623,72.0,4,2018,5
6624,72.0,5,2011,20
6625,72.0,5,2012,18
6626,72.0,5,2013,17
6627,72.0,5,2014,15
6628,72.0,5,2015,3
6629,72.0,5,2016,16
6630,72.0,5,2017,14
6631,72.0,5,2018,13
6632,72.0,6,2011,20
6633,72.0,6,2012,14
6634,72.0,6,2013,3
6635,72.0,6,2014,4
6636,72.0,6,2015,8
