,Community,Year,Count
1129,63,2003,4239
1130,63,2004,3876
1131,63,2005,4292
1132,63,2006,4076
1133,63,2007,3902
1134,63,2008,3904
1135,63,2009,3887
1136,63,2010,3941
1137,63,2011,3735
1138,63,2012,3233
1139,63,2013,2821
1140,63,2014,2618
1141,63,2015,2322
1142,63,2016,2347
1143,63,2017,2276
1144,63,2018,1598
1145,64,2001,23
1146,64,2002,1421
1147,64,2003,1932
1148,64,2004,1905
1149,64,2005,1812
1150,64,2006,1809
1151,64,2007,1924
1152,64,2008,1869
1153,64,2009,1643
1154,64,2010,1397
1155,64,2011,1337
1156,64,2012,1277
1157,64,2013,1113
1158,64,2014,997
1159,64,2015,921
1160,64,2016,964
1161,64,2017,878
1162,64,2018,718
1163,65,2001,28
1164,65,2002,2629
1165,65,2003,3513
1166,65,2004,3546
1167,65,2005,3208
1168,65,2006,3548
1169,65,2007,3203
1170,65,2008,3232
1171,65,2009,3061
1172,65,2010,2770
1173,65,2011,2676
1174,65,2012,2442
1175,65,2013,2245
1176,65,2014,2089
1177,65,2015,2020
1178,65,2016,2125
1179,65,2017,1854
1180,65,2018,1367
1181,66,2001,78
1182,66,2002,7996
1183,66,2003,11138
1184,66,2004,10931
1185,66,2005,11429
1186,66,2006,11684
1187,66,2007,11295
1188,66,2008,11125
1189,66,2009,10297
1190,66,2010,10510
1191,66,2011,9949
1192,66,2012,8574
1193,66,2013,7288
1194,66,2014,6455
1195,66,2015,6082
1196,66,2016,5804
1197,66,2017,5692
1198,66,2018,4335
1199,67,2001,79
1200,67,2002,10068
1201,67,2003,13807
1202,67,2004,13998
1203,67,2005,13504
1204,67,2006,13640
1205,67,2007,13537
1206,67,2008,13350
1207,67,2009,11370
1208,67,2010,11219
1209,67,2011,10816
1210,67,2012,9973
1211,67,2013,9003
1212,67,2014,7583
1213,67,2015,7164
1214,67,2016,6977
1215,67,2017,6900
1216,67,2018,5404
1217,68,2001,102
1218,68,2002,9396
1219,68,2003,12460
1220,68,2004,12832
1221,68,2005,12042
1222,68,2006,12234
1223,68,2007,12368
1224,68,2008,12292
1225,68,2009,10548
1226,68,2010,10161
1227,68,2011,9311
1228,68,2012,9079
1229,68,2013,8185
1230,68,2014,7081
1231,68,2015,6982
1232,68,2016,6245
1233,68,2017,5893
1234,68,2018,4794
1235,69,2001,77
