,Community,month,year,Street_lights
3157,32,8,2014,71
3158,32,8,2015,49
3159,32,8,2016,83
3160,32,8,2017,75
3161,32,8,2018,48
3162,32,9,2011,16
3163,32,9,2012,23
3164,32,9,2013,15
3165,32,9,2014,71
3166,32,9,2015,53
3167,32,9,2016,110
3168,32,9,2017,35
3169,32,9,2018,45
3170,32,10,2010,2
3171,32,10,2011,27
3172,32,10,2012,32
3173,32,10,2013,17
3174,32,10,2014,25
3175,32,10,2015,45
3176,32,10,2016,126
3177,32,10,2017,41
3178,32,10,2018,46
3179,32,11,2010,7
3180,32,11,2011,41
3181,32,11,2012,51
3182,32,11,2013,79
3183,32,11,2014,31
3184,32,11,2015,97
3185,32,11,2016,51
3186,32,11,2017,54
3187,32,12,2010,17
3188,32,12,2011,20
3189,32,12,2012,18
3190,32,12,2013,13
3191,32,12,2014,27
3192,32,12,2015,48
3193,32,12,2016,101
3194,32,12,2017,23
3195,33,1,2011,1
3196,33,1,2012,6
3197,33,1,2013,8
3198,33,1,2014,3
3199,33,1,2015,38
3200,33,1,2016,20
3201,33,1,2017,8
3202,33,1,2018,34
3203,33,2,2011,3
3204,33,2,2012,5
3205,33,2,2013,8
3206,33,2,2014,9
3207,33,2,2015,7
3208,33,2,2016,21
3209,33,2,2017,20
3210,33,2,2018,25
3211,33,3,2011,11
3212,33,3,2012,24
3213,33,3,2013,2
3214,33,3,2014,6
3215,33,3,2015,26
3216,33,3,2016,13
3217,33,3,2017,23
3218,33,3,2018,39
3219,33,4,2011,4
3220,33,4,2013,3
3221,33,4,2014,22
3222,33,4,2015,26
3223,33,4,2016,66
3224,33,4,2017,12
3225,33,4,2018,10
3226,33,5,2011,2
3227,33,5,2012,26
3228,33,5,2013,1
3229,33,5,2014,15
3230,33,5,2015,36
3231,33,5,2016,31
3232,33,5,2017,40
3233,33,5,2018,15
3234,33,6,2011,6
3235,33,6,2012,3
3236,33,6,2013,8
3237,33,6,2014,26
3238,33,6,2015,20
3239,33,6,2016,21
3240,33,6,2017,34
3241,33,6,2018,34
3242,33,7,2011,15
3243,33,7,2012,1
3244,33,7,2013,5
3245,33,7,2014,10
3246,33,7,2015,18
3247,33,7,2016,14
3248,33,7,2017,20
3249,33,7,2018,24
3250,33,8,2011,8
3251,33,8,2012,17
3252,33,8,2013,5
3253,33,8,2014,17
3254,33,8,2015,31
3255,33,8,2016,45
3256,33,8,2017,26
3257,33,8,2018,32
3258,33,9,2011,12
3259,33,9,2012,6
3260,33,9,2013,7
3261,33,9,2014,21
3262,33,9,2015,26
3263,33,9,2016,29
3264,33,9,2017,16
3265,33,9,2018,35
3266,33,10,2011,9
3267,33,10,2012,18
3268,33,10,2013,10
